Week_Start_Date,SKU,Avg_Unit_Cost,Needed_Qty_Lag_1W,Needed_Qty_Lag_2W,Needed_Qty_Lag_4W,Avg_Needed_Qty_Last_4W,Target_Weekly_Quantity_Needed
2022-04-10,SKU1000,128.52,115.24,157.48,165.16,145.31,139.42
2022-04-17,SKU1000,103.42,139.42,115.24,143.36,138.875,128.06
2022-04-24,SKU1000,110.84,128.06,139.42,157.48,135.05,118.03
2022-05-01,SKU1000,122.25,118.03,128.06,115.24,125.1875,215.33
2022-05-08,SKU1000,115.02,215.33,118.03,139.42,150.21,121.67
2022-05-15,SKU1000,92.11,121.67,215.33,128.06,145.7725,111.55
2022-05-22,SKU1000,116.06,111.55,121.67,118.03,141.645,160.78
2022-05-29,SKU1000,130.04,160.78,111.55,215.33,152.3325,112.6
2022-06-05,SKU1000,91.06,112.6,160.78,121.67,126.65,102.7
2022-06-12,SKU1000,110.53,102.7,112.6,111.55,121.9075,81.19
2022-06-19,SKU1000,112.61,81.19,102.7,160.78,114.31750000000001,105.59
2022-06-26,SKU1000,114.24,105.59,81.19,112.6,100.52,97.74
2022-07-03,SKU1000,109.32,97.74,105.59,102.7,96.805,132.93
2022-07-10,SKU1000,110.86,132.93,97.74,81.19,104.3625,150.43
2022-07-17,SKU1000,121.52,150.43,132.93,105.59,121.6725,108.9
2022-07-24,SKU1000,134.06,108.9,150.43,97.74,122.5,81.07
2022-07-31,SKU1000,111.02,81.07,108.9,132.93,118.33250000000001,89.2
2022-08-07,SKU1000,122.54,89.2,81.07,150.43,107.4,98.94
2022-08-14,SKU1000,121.64,98.94,89.2,108.9,94.5275,101.89
2022-08-21,SKU1000,124.14,101.89,98.94,81.07,92.775,85.08
2022-08-28,SKU1000,114.81,85.08,101.89,89.2,93.77749999999999,82.12
2022-09-04,SKU1000,130.6,82.12,85.08,98.94,92.0075,88.01
2022-09-11,SKU1000,110.78,88.01,82.12,101.89,89.275,96.87
2022-09-18,SKU1000,110.55,96.87,88.01,85.08,88.02000000000001,86.06
2022-09-25,SKU1000,118.03,86.06,96.87,82.12,88.26500000000001,108.69
2022-10-02,SKU1000,117.94,108.69,86.06,88.01,94.9075,95.09
2022-10-09,SKU1000,115.53,95.09,108.69,96.87,96.67750000000001,101.65
2022-10-16,SKU1000,115.01,101.65,95.09,86.06,97.8725,96.86
2022-10-23,SKU1000,105.0,96.86,101.65,108.69,100.57249999999999,131.36
2022-10-30,SKU1000,113.33,131.36,96.86,95.09,106.24000000000001,117.5
2022-11-06,SKU1000,113.24,117.5,131.36,101.65,111.8425,135.52
2022-11-13,SKU1000,112.38,135.52,117.5,96.86,120.31,129.76
2022-11-20,SKU1000,110.1,129.76,135.52,131.36,128.535,124.78
2022-11-27,SKU1000,110.95,124.78,129.76,117.5,126.89,188.17
2022-12-04,SKU1000,93.78,188.17,124.78,135.52,144.5575,125.69
2022-12-11,SKU1000,114.29,125.69,188.17,129.76,142.1,124.34
2022-12-18,SKU1000,118.57,124.34,125.69,124.78,140.745,147.15
2022-12-25,SKU1000,113.6,147.15,124.34,188.17,146.3375,144.29
2023-01-01,SKU1000,107.81,144.29,147.15,125.69,135.3675,180.43
2023-01-08,SKU1000,121.39,180.43,144.29,124.34,149.0525,161.46
2023-01-15,SKU1000,118.88,161.46,180.43,147.15,158.3325,149.09
2023-01-22,SKU1000,106.68,149.09,161.46,144.29,158.8175,132.65
2023-01-29,SKU1000,121.64,132.65,149.09,180.43,155.9075,139.86
2023-02-05,SKU1000,112.05,139.86,132.65,161.46,145.76500000000001,95.25
2023-02-12,SKU1000,123.52,95.25,139.86,149.09,129.2125,160.18
2023-02-19,SKU1000,103.68,160.18,95.25,132.65,131.985,134.7
2023-02-26,SKU1000,118.85,134.7,160.18,139.86,132.4975,168.21
2023-03-05,SKU1000,119.13,168.21,134.7,95.25,139.585,170.01
2023-03-12,SKU1000,113.21,170.01,168.21,160.18,158.275,156.36
2023-03-19,SKU1000,104.17,156.36,170.01,134.7,157.32,131.59
2023-03-26,SKU1000,122.88,131.59,156.36,168.21,156.54250000000002,138.48
2023-04-02,SKU1000,127.47,138.48,131.59,170.01,149.11,145.12
2023-04-09,SKU1000,125.08,145.12,138.48,156.36,142.8875,136.1
2023-04-16,SKU1000,116.38,136.1,145.12,131.59,137.8225,188.59
2023-04-23,SKU1000,123.0,188.59,136.1,138.48,152.0725,165.79
2023-04-30,SKU1000,108.3,165.79,188.59,145.12,158.9,113.79
2023-05-07,SKU1000,116.74,113.79,165.79,136.1,151.0675,151.65
2023-05-14,SKU1000,115.69,151.65,113.79,188.59,154.95499999999998,145.77
2023-05-21,SKU1000,128.43,145.77,151.65,165.79,144.25,122.69
2023-05-28,SKU1000,115.3,122.69,145.77,113.79,133.47500000000002,120.5
2023-06-04,SKU1000,124.26,120.5,122.69,151.65,135.1525,115.5
2023-06-11,SKU1000,104.63,115.5,120.5,145.77,126.11500000000001,125.93
2023-06-18,SKU1000,103.06,125.93,115.5,122.69,121.155,89.12
2023-06-25,SKU1000,117.64,89.12,125.93,120.5,112.76249999999999,156.1
2023-07-02,SKU1000,99.97,156.1,89.12,115.5,121.6625,107.0
2023-07-09,SKU1000,114.75,107.0,156.1,125.93,119.5375,100.47
2023-07-16,SKU1000,123.54,100.47,107.0,89.12,113.17250000000001,108.4
2023-07-23,SKU1000,110.28,108.4,100.47,156.1,117.9925,106.21
2023-07-30,SKU1000,111.3,106.21,108.4,107.0,105.52,109.3
2023-08-06,SKU1000,114.45,109.3,106.21,100.47,106.095,107.57
2023-08-13,SKU1000,109.66,107.57,109.3,108.4,107.86999999999999,78.81
2023-08-20,SKU1000,109.55,78.81,107.57,106.21,100.4725,91.49
2023-08-27,SKU1000,113.29,91.49,78.81,109.3,96.7925,82.63
2023-09-03,SKU1000,104.95,82.63,91.49,107.57,90.125,79.44
2023-09-10,SKU1000,106.84,79.44,82.63,78.81,83.0925,101.41
2023-09-17,SKU1000,127.56,101.41,79.44,91.49,88.74249999999999,135.9
2023-09-24,SKU1000,99.81,135.9,101.41,82.63,99.845,90.8
2023-10-01,SKU1000,116.08,90.8,135.9,79.44,101.8875,91.37
2023-10-08,SKU1000,122.23,91.37,90.8,101.41,104.87,98.52
2023-10-15,SKU1000,113.15,98.52,91.37,135.9,104.14750000000001,121.5
2023-10-22,SKU1000,118.2,121.5,98.52,90.8,100.5475,131.61
2023-10-29,SKU1000,110.99,131.61,121.5,91.37,110.75,133.26
2023-11-05,SKU1000,106.88,133.26,131.61,98.52,121.2225,138.24
2023-11-12,SKU1000,131.34,138.24,133.26,121.5,131.1525,121.1
2023-11-19,SKU1000,141.23,121.1,138.24,131.61,131.0525,120.27
2023-11-26,SKU1000,117.88,120.27,121.1,133.26,128.2175,157.23
2023-12-03,SKU1000,125.94,157.23,120.27,138.24,134.20999999999998,140.39
2023-12-10,SKU1000,112.25,140.39,157.23,121.1,134.7475,121.7
2023-12-17,SKU1000,128.79,121.7,140.39,120.27,134.89749999999998,129.81
2023-12-24,SKU1000,103.97,129.81,121.7,157.23,137.28249999999997,116.89
2023-12-31,SKU1000,98.07,116.89,129.81,140.39,127.19749999999999,174.09
2024-01-07,SKU1000,98.98,174.09,116.89,121.7,135.6225,135.93
2024-01-14,SKU1000,111.37,135.93,174.09,129.81,139.18,118.65
2024-01-21,SKU1000,117.02,118.65,135.93,116.89,136.39000000000001,151.41
2024-01-28,SKU1000,119.23,151.41,118.65,174.09,145.02,113.66
2024-02-04,SKU1000,121.67,113.66,151.41,135.93,129.9125,137.41
2024-02-11,SKU1000,119.54,137.41,113.66,118.65,130.2825,153.15
2024-02-18,SKU1000,119.7,153.15,137.41,151.41,138.9075,157.76
2024-02-25,SKU1000,114.75,157.76,153.15,113.66,140.495,164.08
2024-03-03,SKU1000,104.26,164.08,157.76,137.41,153.10000000000002,148.01
2024-03-10,SKU1000,110.47,148.01,164.08,153.15,155.75,180.66
2024-03-17,SKU1000,111.19,180.66,148.01,157.76,162.6275,130.07
2024-03-24,SKU1000,111.71,130.07,180.66,164.08,155.705,139.86
2024-03-31,SKU1000,121.81,139.86,130.07,148.01,149.65,154.09
2024-04-07,SKU1000,120.06,154.09,139.86,180.66,151.17000000000002,146.81
2024-04-14,SKU1000,104.53,146.81,154.09,130.07,142.7075,168.97
2024-04-21,SKU1000,104.17,168.97,146.81,139.86,152.4325,122.87
2024-04-28,SKU1000,116.23,122.87,168.97,154.09,148.185,130.14
2024-05-05,SKU1000,99.89,130.14,122.87,146.81,142.1975,114.8
2024-05-12,SKU1000,93.46,114.8,130.14,168.97,134.195,134.76
2024-05-19,SKU1000,104.9,134.76,114.8,122.87,125.64249999999998,129.66
2024-05-26,SKU1000,116.52,129.66,134.76,130.14,127.33999999999997,132.08
2024-06-02,SKU1000,111.07,132.08,129.66,114.8,127.82499999999999,94.24
2024-06-09,SKU1000,117.22,94.24,132.08,134.76,122.685,176.08
2024-06-16,SKU1000,120.95,176.08,94.24,129.66,133.015,169.4
2024-06-23,SKU1000,120.91,169.4,176.08,132.08,142.95000000000002,96.74
2024-06-30,SKU1000,108.92,96.74,169.4,94.24,134.115,100.18
2024-07-07,SKU1000,113.47,100.18,96.74,176.08,135.6,100.51
2024-07-14,SKU1000,109.57,100.51,100.18,169.4,116.70750000000001,104.67
2024-07-21,SKU1000,123.51,104.67,100.51,96.74,100.525,99.75
2024-07-28,SKU1000,117.62,99.75,104.67,100.18,101.2775,102.75
2024-08-04,SKU1000,114.68,102.75,99.75,100.51,101.92,96.97
2024-08-11,SKU1000,118.63,96.97,102.75,104.67,101.035,98.27
2024-08-18,SKU1000,118.67,98.27,96.97,99.75,99.435,86.65
2024-08-25,SKU1000,113.38,86.65,98.27,102.75,96.16,95.69
2024-09-01,SKU1000,117.01,95.69,86.65,96.97,94.39500000000001,101.31
2024-09-08,SKU1000,109.65,101.31,95.69,98.27,95.47999999999999,92.55
2024-09-15,SKU1000,109.71,92.55,101.31,86.65,94.05,90.37
2024-09-22,SKU1000,112.41,90.37,92.55,95.69,94.97999999999999,99.77
2024-09-29,SKU1000,115.24,99.77,90.37,101.31,96.0,87.84
2024-10-06,SKU1000,115.7,87.84,99.77,92.55,92.6325,80.82
2024-10-13,SKU1000,119.56,80.82,87.84,90.37,89.7,81.58
2024-10-20,SKU1000,123.98,81.58,80.82,99.77,87.5025,127.83
2024-10-27,SKU1000,112.42,127.83,81.58,87.84,94.5175,112.34
2024-11-03,SKU1000,110.98,112.34,127.83,80.82,100.64250000000001,111.02
2024-11-10,SKU1000,111.24,111.02,112.34,81.58,108.1925,132.48
2024-11-17,SKU1000,106.41,132.48,111.02,127.83,120.91749999999999,118.97
2024-11-24,SKU1000,114.69,118.97,132.48,112.34,118.70249999999999,130.1
2024-12-01,SKU1000,122.24,130.1,118.97,111.02,123.14249999999998,181.61
2024-12-08,SKU1000,109.56,181.61,130.1,132.48,140.79,129.52
2024-12-15,SKU1000,121.98,129.52,181.61,118.97,140.05,124.38
2024-12-22,SKU1000,109.13,124.38,129.52,130.1,141.4025,160.81
2024-12-29,SKU1000,112.12,160.81,124.38,181.61,149.08,204.02
2021-01-31,SKU1001,79.86,264.74,237.23,263.43,259.815,252.84
2021-02-07,SKU1001,80.69,252.84,264.74,273.86,257.16749999999996,258.43
2021-02-14,SKU1001,68.04,258.43,252.84,237.23,253.31,272.11
2021-02-21,SKU1001,71.1,272.11,258.43,264.74,262.03,293.54
2021-02-28,SKU1001,73.63,293.54,272.11,252.84,269.23,278.62
2021-03-07,SKU1001,77.39,278.62,293.54,258.43,275.675,304.32
2021-03-14,SKU1001,72.37,304.32,278.62,272.11,287.14750000000004,298.1
2021-03-21,SKU1001,70.68,298.1,304.32,293.54,293.645,306.81
2021-03-28,SKU1001,71.53,306.81,298.1,278.62,296.96250000000003,280.01
2021-04-04,SKU1001,66.88,280.01,306.81,304.32,297.31,322.44
2021-04-11,SKU1001,70.43,322.44,280.01,298.1,301.84000000000003,289.53
2021-04-18,SKU1001,73.0,289.53,322.44,306.81,299.6975,226.12
2021-04-25,SKU1001,66.99,226.12,289.53,280.01,279.525,213.93
2021-05-02,SKU1001,74.58,213.93,226.12,322.44,263.005,209.07
2021-05-09,SKU1001,87.65,209.07,213.93,289.53,234.6625,248.6
2021-05-16,SKU1001,62.66,248.6,209.07,226.12,224.43,257.02
2021-05-23,SKU1001,66.76,257.02,248.6,213.93,232.155,232.21
2021-05-30,SKU1001,72.05,232.21,257.02,209.07,236.72500000000002,238.48
2021-06-06,SKU1001,96.6,238.48,232.21,248.6,244.0775,210.7
2021-06-13,SKU1001,84.56,210.7,238.48,257.02,234.6025,203.69
2021-06-20,SKU1001,82.72,203.69,210.7,232.21,221.26999999999998,167.16
2021-06-27,SKU1001,92.6,167.16,203.69,238.48,205.0075,213.27
2021-07-04,SKU1001,73.53,213.27,167.16,210.7,198.70499999999998,201.19
2021-07-11,SKU1001,91.82,201.19,213.27,203.69,196.3275,170.31
2021-07-18,SKU1001,80.73,170.31,201.19,167.16,187.9825,261.85
2021-07-25,SKU1001,84.14,261.85,170.31,213.27,211.655,196.47
2021-08-01,SKU1001,89.05,196.47,261.85,201.19,207.455,163.51
2021-08-08,SKU1001,75.27,163.51,196.47,170.31,198.03500000000003,153.16
2021-08-15,SKU1001,89.86,153.16,163.51,261.85,193.7475,149.89
2021-08-22,SKU1001,102.37,149.89,153.16,196.47,165.7575,179.95
2021-08-29,SKU1001,99.17,179.95,149.89,163.51,161.6275,158.04
2021-09-05,SKU1001,103.1,158.04,179.95,153.16,160.26,179.24
2021-09-12,SKU1001,96.37,179.24,158.04,149.89,166.78,172.64
2021-09-19,SKU1001,91.29,172.64,179.24,179.95,172.4675,196.17
2021-09-26,SKU1001,90.84,196.17,172.64,158.04,176.52249999999998,201.96
2021-10-03,SKU1001,59.44,201.96,196.17,179.24,187.5025,204.36
2021-10-10,SKU1001,70.52,204.36,201.96,172.64,193.7825,179.56
2021-10-17,SKU1001,78.78,179.56,204.36,196.17,195.51250000000002,224.12
2021-10-24,SKU1001,68.34,224.12,179.56,201.96,202.50000000000003,178.99
2021-10-31,SKU1001,78.36,178.99,224.12,204.36,196.75750000000002,244.93
2021-11-07,SKU1001,82.81,244.93,178.99,179.56,206.9,249.96
2021-11-14,SKU1001,81.45,249.96,244.93,224.12,224.5,246.67
2021-11-21,SKU1001,72.98,246.67,249.96,178.99,230.1375,277.73
2021-11-28,SKU1001,72.51,277.73,246.67,244.93,254.8225,245.1
2021-12-05,SKU1001,77.08,245.1,277.73,249.96,254.865,262.49
2021-12-12,SKU1001,85.38,262.49,245.1,246.67,257.9975,241.67
2021-12-19,SKU1001,70.89,241.67,262.49,277.73,256.7475,207.25
2021-12-26,SKU1001,70.06,207.25,241.67,245.1,239.1275,308.71
2022-01-02,SKU1001,65.8,308.71,207.25,262.49,255.03,265.61
2022-01-09,SKU1001,80.23,265.61,308.71,241.67,255.81,263.48
2022-01-16,SKU1001,80.0,263.48,265.61,207.25,261.26250000000005,236.85
2022-01-23,SKU1001,74.43,236.85,263.48,308.71,268.6625,272.61
2022-01-30,SKU1001,60.38,272.61,236.85,265.61,259.63750000000005,260.94
2022-02-06,SKU1001,80.26,260.94,272.61,263.48,258.47,255.12
2022-02-13,SKU1001,85.24,255.12,260.94,236.85,256.38,325.45
2022-02-20,SKU1001,74.99,325.45,255.12,272.61,278.53,261.17
2022-02-27,SKU1001,80.41,261.17,325.45,260.94,275.67,282.07
2022-03-06,SKU1001,90.17,282.07,261.17,255.12,280.9525,326.34
2022-03-13,SKU1001,54.31,326.34,282.07,325.45,298.7575,282.24
2022-03-20,SKU1001,77.43,282.24,326.34,261.17,287.955,295.05
2022-03-27,SKU1001,66.39,295.05,282.24,282.07,296.42499999999995,294.35
2022-04-03,SKU1001,79.4,294.35,295.05,326.34,299.495,247.27
2022-04-10,SKU1001,72.34,247.27,294.35,282.24,279.7275,313.71
2022-04-17,SKU1001,65.03,313.71,247.27,295.05,287.595,232.23
2022-04-24,SKU1001,71.79,232.23,313.71,294.35,271.89,185.9
2022-05-01,SKU1001,71.53,185.9,232.23,247.27,244.7775,319.37
2022-05-08,SKU1001,79.36,319.37,185.9,313.71,262.8025,233.65
2022-05-15,SKU1001,74.12,233.65,319.37,232.23,242.7875,255.05
2022-05-22,SKU1001,81.65,255.05,233.65,185.9,248.4925,232.33
2022-05-29,SKU1001,77.11,232.33,255.05,319.37,260.1,212.17
2022-06-05,SKU1001,80.74,212.17,232.33,233.65,233.3,227.25
2022-06-12,SKU1001,80.17,227.25,212.17,255.05,231.70000000000002,180.11
2022-06-19,SKU1001,96.25,180.11,227.25,232.33,212.965,216.71
2022-06-26,SKU1001,100.85,216.71,180.11,212.17,209.06,184.41
2022-07-03,SKU1001,89.94,184.41,216.71,227.25,202.12,253.58
2022-07-10,SKU1001,95.36,253.58,184.41,180.11,208.7025,275.76
2022-07-17,SKU1001,106.57,275.76,253.58,216.71,232.615,198.05
2022-07-24,SKU1001,91.19,198.05,275.76,184.41,227.95,179.24
2022-07-31,SKU1001,103.11,179.24,198.05,253.58,226.6575,163.68
2022-08-07,SKU1001,83.74,163.68,179.24,275.76,204.1825,156.14
2022-08-14,SKU1001,96.75,156.14,163.68,198.05,174.27749999999997,176.65
2022-08-21,SKU1001,93.72,176.65,156.14,179.24,168.9275,161.18
2022-08-28,SKU1001,86.33,161.18,176.65,163.68,164.4125,175.21
2022-09-04,SKU1001,89.32,175.21,161.18,156.14,167.29500000000002,157.29
2022-09-11,SKU1001,105.3,157.29,175.21,176.65,167.5825,181.96
2022-09-18,SKU1001,86.19,181.96,157.29,161.18,168.91000000000003,176.87
2022-09-25,SKU1001,87.11,176.87,181.96,175.21,172.83249999999998,209.92
2022-10-02,SKU1001,59.89,209.92,176.87,157.29,181.51,172.77
2022-10-09,SKU1001,80.86,172.77,209.92,181.96,185.38,222.53
2022-10-16,SKU1001,79.5,222.53,172.77,176.87,195.52249999999998,243.57
2022-10-23,SKU1001,78.54,243.57,222.53,209.92,212.19750000000002,215.91
2022-10-30,SKU1001,77.65,215.91,243.57,172.77,213.695,246.73
2022-11-06,SKU1001,80.4,246.73,215.91,222.53,232.185,240.82
2022-11-13,SKU1001,84.13,240.82,246.73,243.57,236.7575,206.21
2022-11-20,SKU1001,79.47,206.21,240.82,215.91,227.4175,260.39
2022-11-27,SKU1001,79.9,260.39,206.21,246.73,238.5375,278.8
2022-12-04,SKU1001,85.27,278.8,260.39,240.82,246.555,259.59
2022-12-11,SKU1001,72.65,259.59,278.8,206.21,251.2475,239.0
2022-12-18,SKU1001,74.97,239.0,259.59,260.39,259.445,227.54
2022-12-25,SKU1001,78.71,227.54,239.0,278.8,251.2325,295.15
2023-01-01,SKU1001,70.2,295.15,227.54,259.59,255.31999999999996,325.3
2023-01-08,SKU1001,75.34,325.3,295.15,239.0,271.7475,223.28
2023-01-15,SKU1001,73.22,223.28,325.3,227.54,267.8175,279.01
2023-01-22,SKU1001,67.35,279.01,223.28,295.15,280.685,225.0
2023-01-29,SKU1001,84.2,225.0,279.01,325.3,263.14750000000004,243.99
2023-02-05,SKU1001,62.84,243.99,225.0,223.28,242.82000000000002,234.52
2023-02-12,SKU1001,70.06,234.52,243.99,279.01,245.63,312.34
2023-02-19,SKU1001,74.02,312.34,234.52,225.0,253.9625,315.65
2023-02-26,SKU1001,79.51,315.65,312.34,243.99,276.625,283.71
2023-03-05,SKU1001,76.02,283.71,315.65,234.52,286.555,235.47
2023-03-12,SKU1001,69.9,235.47,283.71,312.34,286.7925,284.83
2023-03-19,SKU1001,79.76,284.83,235.47,315.65,279.91499999999996,302.08
2023-03-26,SKU1001,67.34,302.08,284.83,283.71,276.5225,302.5
2023-04-02,SKU1001,75.8,302.5,302.08,235.47,281.21999999999997,268.4
2023-04-09,SKU1001,69.14,268.4,302.5,284.83,289.4525,277.91
2023-04-16,SKU1001,78.29,277.91,268.4,302.08,287.72249999999997,285.86
2023-04-23,SKU1001,76.3,285.86,277.91,302.5,283.6675,363.65
2023-04-30,SKU1001,79.71,363.65,285.86,268.4,298.95500000000004,269.93
2023-05-07,SKU1001,72.31,269.93,363.65,277.91,299.3375,247.73
2023-05-14,SKU1001,74.79,247.73,269.93,285.86,291.7925,232.52
2023-05-21,SKU1001,75.94,232.52,247.73,363.65,278.4575,226.82
2023-05-28,SKU1001,69.74,226.82,232.52,269.93,244.25,238.44
2023-06-04,SKU1001,89.68,238.44,226.82,247.73,236.3775,171.65
2023-06-11,SKU1001,80.7,171.65,238.44,232.52,217.35750000000002,180.39
2023-06-18,SKU1001,95.69,180.39,171.65,226.82,204.32500000000002,199.69
2023-06-25,SKU1001,95.69,199.69,180.39,238.44,197.5425,265.03
2023-07-02,SKU1001,91.36,265.03,199.69,171.65,204.19,198.43
2023-07-09,SKU1001,81.06,198.43,265.03,180.39,210.885,198.88
2023-07-16,SKU1001,97.38,198.88,198.43,199.69,215.5075,147.5
2023-07-23,SKU1001,96.1,147.5,198.88,265.03,202.45999999999998,200.63
2023-07-30,SKU1001,105.3,200.63,147.5,198.43,186.36,194.54
2023-08-06,SKU1001,90.36,194.54,200.63,198.88,185.3875,204.87
2023-08-13,SKU1001,85.39,204.87,194.54,147.5,186.88500000000002,150.9
2023-08-20,SKU1001,89.09,150.9,204.87,200.63,187.73499999999999,164.2
2023-08-27,SKU1001,84.12,164.2,150.9,194.54,178.6275,172.65
2023-09-03,SKU1001,92.55,172.65,164.2,204.87,173.155,164.62
2023-09-10,SKU1001,91.56,164.62,172.65,150.9,163.0925,143.15
2023-09-17,SKU1001,84.85,143.15,164.62,164.2,161.155,201.66
2023-09-24,SKU1001,96.28,201.66,143.15,172.65,170.52,170.4
2023-10-01,SKU1001,75.3,170.4,201.66,164.62,169.9575,176.9
2023-10-08,SKU1001,80.43,176.9,170.4,143.15,173.0275,209.65
2023-10-15,SKU1001,85.0,209.65,176.9,201.66,189.65250000000003,234.95
2023-10-22,SKU1001,78.15,234.95,209.65,170.4,197.975,201.54
2023-10-29,SKU1001,79.62,201.54,234.95,176.9,205.76,242.24
2023-11-05,SKU1001,70.3,242.24,201.54,209.65,222.095,216.03
2023-11-12,SKU1001,80.64,216.03,242.24,234.95,223.69,228.37
2023-11-19,SKU1001,77.09,228.37,216.03,201.54,222.04500000000002,187.09
2023-11-26,SKU1001,77.38,187.09,228.37,242.24,218.4325,336.83
2023-12-03,SKU1001,67.18,336.83,187.09,216.03,242.08,343.38
2023-12-10,SKU1001,72.23,343.38,336.83,228.37,273.9175,226.18
2023-12-17,SKU1001,69.58,226.18,343.38,187.09,273.37,234.22
2023-12-24,SKU1001,64.08,234.22,226.18,336.83,285.15250000000003,249.95
2023-12-31,SKU1001,78.69,249.95,234.22,343.38,263.4325,294.23
2024-01-07,SKU1001,86.63,294.23,249.95,226.18,251.145,244.58
